,title,price,rating,image,description,url
0,"Computer Keyboard Wired, Plug Play USB , Low Profile Chiclet Keys, Large Number Pad, Caps Indicators, Foldable Stands, Spill-Resistant, Anti-Wear Letters for Windows Mac PC Laptop, Full Size",$11.99,4.4 ,https://m.media-amazon.com/images/I/61s6ZL3Vg3L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTU2ODUxMjgxNjEwMDg0OjE3MTEzNzY0MzY6c3BfYXRmOjMwMDA0MjMxOTU5MTgwMjo6MDo6&url=%2FComputer-Keyboard-Indicators-Spill-Resistant-Anti-Wear%2Fdp%2FB09NLS9TK4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376436%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Manhattan Wired Computer Keyboard – Basic Black Keyboard - with 4.5ft USB-A Cable, 104-keys, Foldable Stands - Compatible for Windows, PC, Laptop - 3 Yr Mfg Warranty – 179324",$11.99,4.1 ,https://m.media-amazon.com/images/I/71pHnBCAqmL.__AC_SY300_SX300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTU2ODUxMjgxNjEwMDg0OjE3MTEzNzY0MzY6c3BfYXRmOjIwMDAyOTQzNDc4Nzc3MTo6MDo6&url=%2FManhattan-104-key-Keyboard-Built-Indicator%2Fdp%2FB07RQVB3HQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376436%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Amazon Basics Low-Profile Wired USB Keyboard with US Layout (QWERTY), Matte Black",$11.69,4.5 ,https://m.media-amazon.com/images/I/81cg9myC9kL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Product Description   An Amazon Brand.   From the Manufacturer   Amazon Basics,https://www.amazon.com/AmazonBasics-Matte-Keyboard-QWERTY-Layout/dp/B07WJ5D3H4/ref=sr_1_3?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-3
3,"Gaming Keyboard, 104 Keys All-Metal Panel, Rainbow LED Backlit Quiet Computer Keyboard, Wrist Rest, Multimedia Keys, Anti-ghosting Keys, Waterproof Light Up USB Wired Keyboard for PC Mac Xbox",$26.99,4.4 ,https://m.media-amazon.com/images/I/71ud68+jS-L._AC_SY300_SX300_.jpg,,https://www.amazon.com/All-Metal-Dacoity-Multimedia-Anti-ghosting-Waterproof/dp/B09TZWLFLY/ref=sr_1_4?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-4
4,"MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey",$29.99,4.4 ,https://m.media-amazon.com/images/I/618zZ7u3sUL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Portable-Mechanical-Keyboard-MageGee-Backlit/dp/B098LG3N6R/ref=sr_1_5?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-5
5,"Logitech MX Keys Mini Minimalist Wireless Illuminated Keyboard, Compact, Bluetooth, USB-C, for Apple macOS, iOS, Windows, Linux, Android - Graphite - With Free Adobe Creative Cloud Subscription",$76.99,4.6 ,https://m.media-amazon.com/images/I/71lsfH+ww3L._AC_SY300_SX300_.jpg,"Logitech MX Keys Mini Introducing MX Keys Mini – a smaller, smarter, and mightier keyboard made for creators. Type with confidence on a keyboard crafted for efficiency, stability, and precision. The ergonomic design aligns your shoulders, allowing you to place your mouse closer to your keyboard for less arm reaching, more comfort, and improved body posture. Easily pair MX Keys Mini via Bluetooth Low Energy with up to 3 devices. Smart Keys transform the way you work, with a Dictation key to talk-to-text with the press of a button (1) , an Emoji key to instantly open your emoji window, and a Mic Mute/Unmute button for smooth video calls. Team up with a Flow-enabled MX Master 3 or MX Anywhere 3 and type on multiple devices in one fluid workflow(1). Transfer files, documents, and images across computers and Mac and Windows operating systems(2). Not compatible with Logitech Unifying Receiver Technology. Product details: Weight: 17.86 oz (506.4 g) Dimensions: 0.82 x 11.65 x 5.19 in (20.97 x 295.99 x 131.95 mm) Battery type: LiPo rechargeable battery Battery life: Up to 10 days on a full charge or up to 5 months with the backlighting turned off(3) Compatible with Windows, macOS, iOS (2), iPadOS (2), Android (2), Chrome OS (2), Linux (2) (1) Requires Logitech Options software, available for Windows and macOS (2) Device basic functions will be supported without software for operating systems other than Windows and macOS (3) Battery life may vary based on user and computing conditions",https://aax-us-iad.amazon.com/x/c/RISJ9zBUv0aZkRqZI35_CjcAAAGOdfwPFgEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAiVIDF/https://www.amazon.com/Logitech-Minimalist-Illuminated-Bluetooth-Compatible/dp/B098JPSVKY/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.c44d9f79-d706-4fe9-a72f-cc7d2fe3208f%3Aamzn1.sym.c44d9f79-d706-4fe9-a72f-cc7d2fe3208f&crid=1DCSWSAQSZ51W&cv_ct_cx=keyboard&dib=eyJ2IjoiMSJ9.wqx5nWfFen8JE_c9uYBPwg.Xja5bMb9VpqSVxw__UdG3puheH5UNEO4uBVuiie7pK0&dib_tag=se&keywords=keyboard&pd_rd_i=B098JPSVKY&pd_rd_r=2f3c1600-e3b2-434f-bacb-a1a8e772d730&pd_rd_w=0SCTg&pd_rd_wg=vALKJ&pf_rd_p=c44d9f79-d706-4fe9-a72f-cc7d2fe3208f&pf_rd_r=ZDV86KHJ5T9E83XJHQMJ&qid=1711376436&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776
6,"65% Gaming Keyboard, Wired Backlit Mini Keyboard, Ultra-Compact 68 Keys Membrane Gaming Wired Keyboard for PC Laptop Mac Gamer (Grey-Black)",$15.97,4.0 ,https://m.media-amazon.com/images/I/61cAbRmF8QL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/GEODMAER-Keyboard-Ultra-Compact-Membrane-Grey-Black/dp/B0CRDLQ2SG/ref=sr_1_6?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-6
7,"AULA Gaming Keyboard, 104 Keys Gaming Keyboard and Mouse Combo with RGB Backlit, All-Metal Panel, PC Gaming Keyboard Mouse, Wired Keyboard for MAC Xbox PC Gamers",$29.99,4.4 ,https://m.media-amazon.com/images/I/71cd3Qs3fEL.__AC_SY300_SX300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTU2ODUxMjgxNjEwMDg0OjE3MTEzNzY0MzY6c3BfbXRmOjMwMDE1NDQ3Mzg4NzkwMjo6MDo6&url=%2FAULA-Keyboard-Backlit-Computer-Windows%2Fdp%2FB0B3RJML38%2Fref%3Dsr_1_7_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376436%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"Wireless Keyboard and Mouse Combo, Lovaky 2.4G Full-Sized Ergonomic Keyboard Mouse, 3 DPI Adjustable Cordless USB Keyboard and Mouse, Quiet Click for Computer/Laptop/Windows/Mac (1 Pack, Black)",$22.97,4.3 ,https://m.media-amazon.com/images/I/619xEG-HNNL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Wireless-Keyboard-Full-Sized-Ergonomic-Adjustable/dp/B09KC6PSR9/ref=sr_1_8?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-8
9,"RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch, Durable Abs Keycaps/Anti-Ghosting/Spill-Resistant Computer Keyboard for PC Mac Xbox Gamer",$29.99,4.5 ,https://m.media-amazon.com/images/I/71T1WQSxp9L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Mechanical-Keyboard-Ultra-Slim-Anti-Ghosting-Spill-Resistant/dp/B09TR4Y91J/ref=sr_1_9?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-9
10,"MageGee Typewriter Mechanical Gaming Keyboard, Retro Punk Round Keycap LED White Backlit USB Wired Keyboards for Game and Office, for Windows Laptop PC Mac - Blue Switches/Pink",$36.99,4.5 ,https://m.media-amazon.com/images/I/71m6k0LT48L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/MageGee-Typewriter-Mechanical-Keyboard-Keyboards/dp/B091GQHBYC/ref=sr_1_10?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-10
11,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,$29.99,4.4 ,https://m.media-amazon.com/images/I/615wODNPYJL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Arteck-Wireless-Keyboard-Stainless-Rechargeable/dp/B07D34L57F/ref=sr_1_11?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-11
12,"AULA F2088 Typewriter Style Mechanical Gaming Keyboard Blue Switches,Rainbow LED Backlit,Removable Wrist Rest,Media Control Knob,Retro Punk Round Keycaps,USB Wired Computer Keyboard",$41.38,4.6 ,https://m.media-amazon.com/images/I/71XcWqobDVL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTU2ODUxMjgxNjEwMDg0OjE3MTEzNzY0MzY6c3BfbXRmOjIwMDA5NTk0NzE2ODU5ODo6MDo6&url=%2FAULA-F2088-Mechanical-Removable-Keyboards%2Fdp%2FB09DKQWTNC%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376436%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,"Redragon K673 PRO 75% Wireless Gasket RGB Gaming Keyboard, 3-Modes 81 Keys Compact Mechanical Keyboard w/Hot-Swap Socket, Dedicated Knob Control & Sound Absorbing Pads, Linear Red Switch",$64.99,4.7 ,https://m.media-amazon.com/images/I/61AmpGY5Z3L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Redragon-K673-Mechanical-Dedicated-Absorbing/dp/B0CLG95X4G/ref=sr_1_13?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-13
14,"Trueque Wireless Keyboard with 7 Colored Backlits, Wrist Rest, Phone Holder, Rechargeable Ergonomic Keyboard with Silent Light Up Keys, Cordless Computer Keyboard for Windows, Mac, PC, Laptop (Black)",$39.99,4.4 ,https://m.media-amazon.com/images/I/717kiWf0ayL.__AC_SY300_SX300_QL70_FMwebp_.jpg,,https://www.amazon.com/Trueque-Wireless-Keyboard-Rechargeable-Ergonomic/dp/B0CQJ997J1/ref=sr_1_14?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.D8uSb1NwIHcyn7qq4wuDdxnEuJQrOLZ_elfxPfa1GeztHy3nd44ex1B0L2Eo3kcjVAKpFQRTyFrl3r9RxX0nianin5hYa2upwTLKIntGV1d8boZdzF3JQmseRqFhonD0gdJ-7FtvCbG7VslcQ7CnG0vHcak8gl8_Dm3SMItVbzwrswLk2bqnx2D2sLAGcN2ggyMOs_Re-OVIWBNKDUhDuZNiEfAt31H5b5Ob-8eYpkY.S_mtWFd3t1qf_R_rlOPjUD4GDh9zVLvG1hu_2mAYM0k&dib_tag=se&keywords=keyboard&qid=1711376436&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-14
